index,label
167,wood-good
168,zipper-fabric_interior
169,cable-cut_outer_insulation
170,carpet-color
171,carpet-color
172,screw-scratch_head
173,leather-glue
174,cable-good
175,pill-good
176,screw-scratch_head
177,zipper-combined
178,capsule-good
179,zipper-fabric_interior
180,leather-good
181,grid-glue
182,bottle-good
183,cable-missing_wire
184,pill-contamination
185,carpet-cut
186,tile-glue_strip
187,metal_nut-good
188,wood-scratch
189,transistor-cut_lead
190,pill-contamination
191,capsule-squeeze
192,zipper-fabric_interior
193,hazelnut-cut
194,pill-contamination
195,screw-scratch_head
196,zipper-fabric_interior
197,zipper-rough
198,zipper-fabric_interior
199,hazelnut-good
200,transistor-good
201,cable-good
202,screw-scratch_head
203,bottle-broken_small
204,pill-good
205,leather-color
206,pill-good
207,pill-good
208,hazelnut-good
209,grid-glue
210,leather-good
211,capsule-good
212,screw-scratch_head
213,wood-good
214,pill-color
215,carpet-cut
216,capsule-squeeze
217,pill-good
218,transistor-good
219,bottle-broken_small
220,tile-oil
221,grid-good
222,tile-glue_strip
223,bottle-broken_small
224,capsule-poke
225,metal_nut-bent
226,pill-contamination
227,leather-color
228,cable-good
229,transistor-good
230,pill-contamination
231,screw-thread_side
232,zipper-fabric_border
233,pill-good
234,zipper-fabric_interior
235,capsule-scratch
236,transistor-good
237,metal_nut-good
238,hazelnut-cut
239,capsule-faulty_imprint
240,metal_nut-good
241,hazelnut-cut
242,zipper-rough
243,screw-thread_side
244,wood-combined
245,leather-poke
246,tile-good
247,tile-gray_stroke
248,wood-scratch
249,cable-good
250,transistor-good
251,tile-gray_stroke
252,cable-bent_wire
253,capsule-crack
254,metal_nut-flip
255,metal_nut-good
256,metal_nut-bent
257,capsule-faulty_imprint
258,zipper-rough
259,hazelnut-good
260,hazelnut-cut
261,screw-scratch_head
262,hazelnut-good
263,hazelnut-cut
264,leather-poke
265,leather-good
266,wood-good
267,screw-scratch_neck
268,metal_nut-flip
269,cable-good
270,carpet-good
271,screw-scratch_head
272,wood-hole
273,transistor-good
274,cable-good
275,capsule-good
276,pill-good
277,capsule-good
278,transistor-good
279,zipper-fabric_interior
280,pill-combined
281,leather-good
282,transistor-good
283,pill-pill_type
284,pill-good
285,screw-good
286,grid-broken
287,tile-good
288,tile-glue_strip
289,bottle-broken_large
290,carpet-hole
291,bottle-broken_small
292,leather-fold
293,leather-cut
294,cable-good
295,zipper-fabric_interior
296,tile-gray_stroke
297,transistor-good
298,transistor-good
299,transistor-good
300,screw-scratch_head
301,leather-glue
302,zipper-rough
303,transistor-good
304,screw-thread_top
305,pill-faulty_imprint
306,toothbrush-good
307,grid-good
308,leather-color
309,screw-scratch_head
310,screw-good
311,transistor-good
312,bottle-good
313,metal_nut-scratch
314,wood-good
315,transistor-good
316,screw-scratch_head
317,wood-good
318,wood-good
319,tile-gray_stroke
320,cable-good
321,screw-scratch_neck
322,metal_nut-bent
323,cable-cut_inner_insulation
324,leather-good
325,capsule-crack
326,screw-thread_side
327,screw-scratch_head
328,pill-good
329,transistor-good
330,screw-scratch_neck
331,capsule-crack
332,screw-good
333,carpet-color
334,carpet-color
335,bottle-broken_small
336,tile-gray_stroke
337,metal_nut-color
338,screw-scratch_neck
339,cable-bent_wire
340,wood-good
341,screw-scratch_head
342,metal_nut-good
343,tile-gray_stroke
344,screw-scratch_head
345,leather-poke
346,metal_nut-flip
347,metal_nut-good
348,hazelnut-good
349,pill-pill_type
350,carpet-thread
351,cable-good
352,cable-good
353,capsule-crack
354,carpet-good
355,capsule-crack
356,cable-good
357,pill-good
358,bottle-good
359,toothbrush-defective
360,transistor-good
361,capsule-crack
362,leather-fold
363,carpet-color
364,transistor-good
365,zipper-rough
366,wood-combined
367,cable-cut_inner_insulation
368,cable-good
369,leather-cut
370,hazelnut-good
371,screw-scratch_head
372,cable-good
373,bottle-good
374,hazelnut-good
375,transistor-good
376,wood-hole
377,screw-scratch_head
378,capsule-good
379,grid-good
380,metal_nut-good
381,screw-scratch_head
382,wood-good
383,tile-glue_strip
384,capsule-poke
385,grid-good
386,metal_nut-bent
387,capsule-good
388,hazelnut-cut
389,screw-scratch_head
390,leather-good
391,metal_nut-good
392,bottle-broken_small
393,leather-cut
394,capsule-crack
395,transistor-good
396,cable-good
397,bottle-contamination
398,hazelnut-print
399,tile-gray_stroke
400,wood-liquid
401,tile-gray_stroke
402,transistor-good
403,zipper-rough
404,bottle-good
405,tile-gray_stroke
406,pill-contamination
407,capsule-scratch
408,leather-good
409,pill-good
410,cable-good
411,capsule-poke
412,pill-crack
413,cable-good
414,bottle-broken_small
415,transistor-good
416,leather-color
417,transistor-good
418,hazelnut-crack
419,transistor-cut_lead
420,metal_nut-bent
421,zipper-fabric_interior
422,metal_nut-good
423,carpet-color
424,carpet-color
425,pill-good
426,zipper-rough
427,zipper-good
428,leather-good
429,transistor-damaged_case
430,bottle-broken_small
431,zipper-fabric_interior
432,cable-good
433,bottle-broken_small
434,tile-glue_strip
435,hazelnut-crack
436,wood-scratch
437,pill-faulty_imprint
438,carpet-color
439,grid-thread
440,pill-color
441,tile-oil
442,transistor-good
443,screw-good
444,transistor-good
445,transistor-cut_lead
446,carpet-thread
447,zipper-rough
448,tile-glue_strip
449,leather-color
450,wood-hole
451,zipper-fabric_interior
452,bottle-broken_small
453,carpet-color
454,tile-good
455,hazelnut-good
456,screw-scratch_head
457,hazelnut-good
458,carpet-hole
459,metal_nut-flip
460,cable-good
461,carpet-good
462,screw-scratch_head
463,leather-poke
464,carpet-thread
465,capsule-faulty_imprint
466,capsule-crack
467,metal_nut-flip
468,screw-scratch_head
469,metal_nut-bent
470,pill-pill_type
471,metal_nut-bent
472,tile-gray_stroke
473,bottle-good
474,screw-scratch_head
475,cable-good
476,wood-liquid
477,transistor-good
478,screw-scratch_head
479,screw-scratch_head
480,pill-combined
481,screw-scratch_head
482,carpet-cut
483,cable-good
484,screw-scratch_head
485,screw-scratch_head
486,cable-good
487,grid-broken
488,hazelnut-hole
489,pill-good
490,carpet-cut
491,cable-poke_insulation
492,cable-good
493,screw-scratch_head
494,hazelnut-good
495,capsule-crack
496,transistor-cut_lead
497,toothbrush-good
498,cable-cut_inner_insulation
499,zipper-combined
500,screw-good
501,tile-glue_strip
502,metal_nut-bent
503,transistor-good
504,cable-bent_wire
505,tile-gray_stroke
506,leather-glue
507,wood-liquid
508,toothbrush-good
509,leather-good
510,capsule-poke
511,screw-scratch_head
512,transistor-good
513,transistor-good
514,transistor-good
515,zipper-fabric_interior
516,cable-good
517,metal_nut-color
518,leather-glue
519,cable-good
520,tile-gray_stroke
521,pill-pill_type
522,wood-good
523,metal_nut-good
524,pill-good
525,zipper-fabric_border
526,cable-good
527,wood-liquid
528,capsule-crack
529,carpet-cut
530,capsule-good
531,hazelnut-hole
532,hazelnut-good
533,hazelnut-hole
534,grid-good
535,screw-scratch_head
536,zipper-split_teeth
537,wood-scratch
538,pill-good
539,toothbrush-defective
540,cable-good
541,wood-good
542,grid-thread
543,screw-scratch_head
544,grid-glue
545,zipper-fabric_interior
546,transistor-good
547,tile-glue_strip
548,hazelnut-good
549,pill-contamination
550,cable-good
551,capsule-crack
552,pill-color
553,pill-good
554,zipper-fabric_interior
555,tile-glue_strip
556,screw-scratch_head
557,capsule-squeeze
558,zipper-broken_teeth
559,screw-scratch_head
560,leather-glue
561,capsule-good
562,leather-glue
563,carpet-metal_contamination
564,cable-good
565,hazelnut-good
566,grid-glue
567,grid-good
568,hazelnut-good
569,screw-scratch_head
570,hazelnut-good
571,wood-combined
572,hazelnut-good
573,pill-good
574,cable-good
575,wood-hole
576,zipper-combined
577,carpet-color
578,grid-metal_contamination
579,zipper-fabric_border
580,pill-crack
581,metal_nut-bent
582,tile-gray_stroke
583,carpet-cut
584,transistor-good
585,transistor-good
586,transistor-good
587,carpet-color
588,leather-glue
589,transistor-good
590,screw-scratch_head
591,hazelnut-cut
592,cable-good
593,zipper-fabric_interior
594,zipper-fabric_interior
595,metal_nut-color
596,carpet-cut
597,tile-gray_stroke
598,zipper-fabric_interior
599,hazelnut-good
600,leather-glue
601,hazelnut-good
602,hazelnut-hole
603,cable-cut_inner_insulation
604,pill-crack
605,cable-good
606,pill-good
607,cable-good
608,transistor-good
609,pill-crack
610,metal_nut-bent
611,grid-metal_contamination
612,cable-good
613,carpet-color
614,hazelnut-good
615,capsule-crack
616,pill-good
617,zipper-fabric_interior
618,carpet-thread
619,cable-cut_inner_insulation
620,cable-good
621,cable-good
622,zipper-good
623,tile-glue_strip
624,bottle-broken_small
625,carpet-hole
626,metal_nut-bent
627,toothbrush-good
628,hazelnut-good
629,bottle-broken_small
630,leather-color
631,toothbrush-good
632,screw-scratch_head
633,screw-scratch_head
634,zipper-good
635,leather-color
636,cable-missing_wire
637,capsule-good
638,carpet-cut
639,leather-poke
640,pill-good
641,leather-fold
642,transistor-good
643,bottle-broken_large
644,carpet-color
645,zipper-fabric_interior
646,cable-good
647,leather-cut
648,capsule-good
649,zipper-fabric_interior
650,wood-hole
651,hazelnut-good
652,carpet-good
653,screw-scratch_head
654,grid-good
655,wood-good
656,screw-scratch_head
657,capsule-crack
658,capsule-crack
659,leather-good
660,transistor-good
661,cable-cut_outer_insulation
662,carpet-color
663,transistor-good
664,capsule-squeeze
665,grid-good
666,transistor-cut_lead
667,hazelnut-good
668,tile-gray_stroke
669,cable-good
670,hazelnut-good
671,pill-crack
672,bottle-broken_small
673,pill-combined
674,pill-crack
675,bottle-broken_large
676,wood-good
677,pill-contamination
678,cable-good
679,tile-good
680,leather-glue
681,leather-good
682,tile-oil
683,pill-good
684,cable-good
685,tile-gray_stroke
686,tile-glue_strip
687,hazelnut-good
688,grid-good
689,leather-color
690,metal_nut-bent
691,cable-good
692,screw-thread_top
693,pill-good
694,grid-broken
695,cable-good
696,hazelnut-good
697,zipper-rough
698,tile-gray_stroke
699,bottle-contamination
700,cable-good
701,leather-poke
702,hazelnut-cut
703,screw-scratch_head
704,bottle-broken_small
705,carpet-good
706,screw-scratch_head
707,transistor-damaged_case
708,cable-cut_outer_insulation
709,wood-liquid
710,pill-crack
711,pill-combined
712,screw-scratch_neck
713,grid-thread
714,carpet-metal_contamination
715,wood-scratch
716,carpet-good
717,leather-glue
718,hazelnut-good
719,zipper-rough
720,capsule-faulty_imprint
721,transistor-good
722,screw-thread_top
723,transistor-good
724,zipper-fabric_border
725,transistor-good
726,pill-crack
727,hazelnut-good
728,pill-good
729,cable-cut_inner_insulation
730,hazelnut-good
731,bottle-good
732,pill-good
733,pill-good
734,hazelnut-good
735,metal_nut-good
736,carpet-good
737,pill-good
738,capsule-crack
739,wood-scratch
740,hazelnut-good
741,carpet-thread
742,pill-combined
743,pill-good
744,tile-gray_stroke
745,carpet-color
746,bottle-good
747,pill-good
748,pill-combined
749,capsule-crack
750,metal_nut-color
751,cable-good
752,metal_nut-flip
753,transistor-good
754,capsule-poke
755,tile-oil
756,zipper-good
757,bottle-good
758,pill-contamination
759,capsule-good
760,screw-thread_side
761,hazelnut-hole
762,cable-cable_swap
763,pill-contamination
764,bottle-broken_small
765,capsule-good
766,grid-bent
767,zipper-fabric_border
768,metal_nut-good
769,pill-good
770,wood-good
771,carpet-metal_contamination
772,wood-combined
773,zipper-fabric_interior
774,hazelnut-hole
775,screw-thread_top
776,pill-combined
777,screw-good
778,bottle-broken_large
779,capsule-crack
780,transistor-good
781,leather-good
782,screw-good
783,wood-combined
784,cable-good
785,leather-good
786,toothbrush-good
787,toothbrush-good
788,screw-scratch_head
789,cable-cut_outer_insulation
790,zipper-fabric_border
791,carpet-good
792,toothbrush-good
793,toothbrush-good
794,zipper-fabric_interior
795,hazelnut-crack
796,transistor-good
797,zipper-rough
798,screw-thread_side
799,pill-crack
800,zipper-fabric_interior
801,hazelnut-crack
802,tile-glue_strip
803,metal_nut-color
804,tile-gray_stroke
805,wood-good
806,pill-good
807,bottle-broken_large
808,leather-glue
809,zipper-combined
810,cable-good
811,capsule-good
812,capsule-poke
813,grid-metal_contamination
814,toothbrush-good
815,wood-good
816,screw-scratch_head
817,bottle-broken_small
818,tile-crack
819,screw-scratch_head
820,pill-contamination
821,hazelnut-print
822,cable-good
823,metal_nut-good
824,screw-good
825,cable-good
826,capsule-good
827,cable-good
828,hazelnut-crack
829,transistor-good
830,carpet-color
831,grid-thread
832,cable-good
833,capsule-crack
834,zipper-fabric_interior
835,tile-gray_stroke
836,capsule-poke
837,screw-scratch_head
838,carpet-color
839,pill-good
840,hazelnut-hole
841,bottle-broken_large
842,screw-thread_side
843,screw-manipulated_front
844,tile-crack
845,transistor-cut_lead
846,leather-good
847,bottle-contamination
848,tile-oil
849,capsule-good
850,tile-oil
851,wood-color
852,screw-scratch_head
853,capsule-good
854,transistor-good
855,capsule-faulty_imprint
856,zipper-good
857,hazelnut-cut
858,transistor-good
859,zipper-rough
860,cable-poke_insulation
861,hazelnut-good
862,metal_nut-good
863,screw-thread_side
864,carpet-cut
865,transistor-good
866,toothbrush-defective
867,cable-good
868,zipper-fabric_interior
869,cable-good
870,carpet-color
871,leather-good
872,pill-good
873,pill-contamination
874,pill-good
875,carpet-color
876,screw-scratch_neck
877,wood-hole
878,leather-color
879,leather-color
880,hazelnut-good
881,grid-glue
882,capsule-crack
883,capsule-faulty_imprint
884,transistor-good
885,tile-glue_strip
886,screw-scratch_head
887,pill-scratch
888,leather-good
889,metal_nut-flip
890,transistor-good
891,zipper-good
892,leather-good
893,cable-good
894,leather-cut
895,screw-good
896,pill-good
897,screw-good
898,cable-poke_insulation
899,carpet-color
900,transistor-damaged_case
901,leather-good
902,screw-thread_side
903,pill-contamination
904,capsule-crack
905,zipper-broken_teeth
906,leather-good
907,capsule-crack
908,screw-scratch_head
909,metal_nut-good
910,tile-glue_strip
911,pill-good
912,zipper-combined
913,capsule-crack
914,leather-glue
915,screw-scratch_head
916,metal_nut-flip
917,screw-thread_top
918,tile-glue_strip
919,transistor-cut_lead
920,hazelnut-good
921,screw-good
922,tile-rough
923,zipper-fabric_interior
924,metal_nut-flip
925,leather-glue
926,cable-poke_insulation
927,toothbrush-good
928,cable-good
929,toothbrush-good
930,tile-good
931,cable-cable_swap
932,capsule-crack
933,metal_nut-color
934,capsule-poke
935,pill-good
936,tile-oil
937,leather-poke
938,carpet-color
939,leather-color
940,carpet-cut
941,leather-fold
942,screw-scratch_neck
943,screw-thread_top
944,bottle-contamination
945,leather-glue
946,leather-glue
947,capsule-crack
948,zipper-good
949,hazelnut-hole
950,capsule-good
951,metal_nut-scratch
952,tile-gray_stroke
953,grid-good
954,screw-manipulated_front
955,carpet-thread
956,capsule-crack
957,transistor-good
958,capsule-good
959,wood-hole
960,zipper-fabric_interior
961,screw-scratch_head
962,pill-good
963,hazelnut-good
964,hazelnut-good
965,cable-missing_wire
966,screw-scratch_neck
967,hazelnut-good
968,cable-good
969,hazelnut-good
970,carpet-good
971,carpet-color
972,bottle-broken_small
973,cable-good
974,hazelnut-good
975,tile-good
976,pill-pill_type
977,leather-good
978,screw-scratch_head
979,screw-scratch_head
980,leather-good
981,carpet-color
982,screw-thread_side
983,transistor-good
984,pill-good
985,capsule-squeeze
986,grid-good
987,metal_nut-good
988,screw-thread_side
989,screw-scratch_head
990,pill-good
991,screw-scratch_neck
992,capsule-good
993,cable-missing_wire
994,cable-good
995,bottle-good
996,zipper-fabric_border
997,bottle-good
998,leather-fold
999,screw-scratch_neck
1000,leather-glue
1001,capsule-squeeze
1002,leather-good
1003,metal_nut-color
1004,wood-good
1005,tile-good
1006,cable-missing_wire
1007,capsule-crack
1008,tile-gray_stroke
1009,screw-scratch_head
1010,zipper-rough
1011,pill-contamination
1012,tile-crack
1013,cable-good
1014,leather-glue
1015,screw-scratch_neck
1016,pill-crack
1017,zipper-fabric_interior
1018,hazelnut-crack
1019,pill-good
1020,screw-thread_top
1021,tile-rough
1022,pill-good
1023,metal_nut-good
1024,hazelnut-print
1025,cable-good
1026,metal_nut-color
1027,pill-good
1028,cable-good
1029,zipper-combined
1030,leather-poke
1031,transistor-good
1032,tile-rough
1033,metal_nut-flip
1034,capsule-good
1035,screw-thread_side
1036,pill-good
1037,capsule-crack
1038,hazelnut-good
1039,capsule-good
1040,metal_nut-good
1041,tile-glue_strip
1042,transistor-good
1043,transistor-good
1044,carpet-good
1045,screw-scratch_head
1046,transistor-good
1047,grid-good
1048,cable-good
1049,transistor-good
1050,cable-good
1051,carpet-good
1052,wood-good
1053,zipper-fabric_border
1054,toothbrush-good
1055,capsule-good
1056,cable-good
1057,capsule-good
1058,zipper-fabric_border
1059,grid-good
1060,zipper-fabric_interior
1061,leather-glue
1062,cable-cable_swap
1063,screw-scratch_head
1064,hazelnut-good
1065,metal_nut-bent
1066,carpet-thread
1067,metal_nut-bent
1068,carpet-hole
1069,tile-good
1070,transistor-good
1071,pill-contamination
1072,wood-hole
1073,capsule-good
1074,screw-manipulated_front
1075,zipper-fabric_interior
1076,wood-hole
1077,screw-good
1078,bottle-good
1079,tile-glue_strip
1080,transistor-good
1081,capsule-squeeze
1082,tile-glue_strip
1083,pill-crack
1084,transistor-good
1085,bottle-good
1086,bottle-broken_small
1087,leather-color
1088,tile-glue_strip
1089,pill-color
1090,grid-good
1091,pill-contamination
1092,zipper-good
1093,leather-good
1094,hazelnut-good
1095,metal_nut-good
1096,hazelnut-print
1097,leather-cut
1098,transistor-damaged_case
1099,wood-scratch
1100,cable-cut_inner_insulation
1101,zipper-fabric_interior
1102,leather-color
1103,bottle-good
1104,tile-glue_strip
1105,carpet-color
1106,zipper-fabric_interior
1107,zipper-good
1108,transistor-good
1109,capsule-crack
1110,tile-glue_strip
1111,transistor-good
1112,wood-color
1113,metal_nut-good
1114,bottle-broken_small
1115,carpet-cut
1116,cable-cut_outer_insulation
1117,cable-poke_insulation
1118,metal_nut-good
1119,transistor-good
1120,metal_nut-bent
1121,tile-good
1122,pill-crack
1123,pill-crack
1124,tile-crack
1125,zipper-rough
1126,wood-good
1127,screw-scratch_head
1128,hazelnut-good
1129,carpet-color
1130,transistor-good
1131,cable-good
1132,cable-good
1133,toothbrush-good
1134,screw-scratch_head
1135,transistor-good
1136,wood-liquid
1137,hazelnut-good
1138,cable-cut_inner_insulation
1139,wood-combined
1140,zipper-good
1141,tile-crack
1142,capsule-crack
1143,hazelnut-good
1144,hazelnut-good
1145,cable-good
1146,hazelnut-cut
1147,tile-gray_stroke
1148,screw-thread_side
1149,grid-broken
1150,transistor-good
1151,tile-glue_strip
1152,cable-good
1153,bottle-broken_small
1154,zipper-fabric_interior
1155,zipper-fabric_interior
1156,leather-poke
1157,screw-scratch_head
1158,pill-crack
1159,zipper-fabric_border
1160,transistor-good
1161,bottle-contamination
1162,transistor-good
1163,cable-poke_insulation
1164,capsule-good
1165,screw-scratch_head
1166,leather-poke
1167,capsule-good
1168,transistor-good
1169,cable-good
1170,zipper-good
1171,cable-good
1172,wood-good
1173,screw-thread_top
1174,tile-oil
1175,pill-faulty_imprint
1176,leather-poke
1177,grid-thread
1178,grid-bent
1179,transistor-cut_lead
1180,leather-poke
1181,tile-glue_strip
1182,grid-broken
1183,bottle-broken_small
1184,toothbrush-good
1185,carpet-thread
1186,bottle-good
1187,bottle-contamination
1188,hazelnut-print
1189,tile-glue_strip
1190,cable-poke_insulation
1191,capsule-good
1192,capsule-squeeze
1193,transistor-good
1194,hazelnut-crack
1195,bottle-good
1196,wood-good
1197,grid-bent
1198,toothbrush-good
1199,hazelnut-hole
1200,screw-scratch_head
1201,carpet-good
1202,zipper-combined
1203,bottle-broken_small
1204,cable-good
1205,metal_nut-bent
1206,bottle-good
1207,metal_nut-flip
1208,bottle-good
1209,screw-thread_side
1210,wood-good
1211,cable-good
1212,zipper-fabric_interior
1213,leather-color
1214,wood-scratch
1215,cable-good
1216,capsule-squeeze
1217,zipper-fabric_interior
1218,bottle-broken_small
1219,bottle-good
1220,pill-contamination
1221,metal_nut-color
1222,pill-crack
1223,capsule-crack
1224,cable-cut_outer_insulation
1225,cable-poke_insulation
1226,capsule-poke
1227,cable-poke_insulation
1228,grid-good
1229,toothbrush-good
1230,pill-good
1231,carpet-hole
1232,pill-good
1233,transistor-good
1234,zipper-fabric_border
1235,tile-oil
1236,grid-good
1237,tile-glue_strip
1238,capsule-good
1239,leather-glue
1240,pill-contamination
1241,toothbrush-good
1242,screw-scratch_head
1243,transistor-good
1244,zipper-good
1245,carpet-hole
1246,cable-good
1247,cable-good
1248,transistor-good
1249,zipper-fabric_interior
1250,tile-oil
1251,screw-scratch_head
1252,screw-scratch_head
1253,carpet-color
1254,wood-good
1255,screw-scratch_head
1256,leather-good
1257,transistor-cut_lead
1258,leather-color
1259,cable-good
1260,screw-scratch_neck
1261,pill-good
1262,toothbrush-good
1263,bottle-good
1264,transistor-good
1265,pill-combined
1266,cable-good
1267,tile-glue_strip
1268,capsule-squeeze
1269,tile-good
1270,zipper-fabric_interior
1271,hazelnut-print
1272,leather-glue
1273,pill-good
1274,zipper-good
1275,pill-faulty_imprint
1276,metal_nut-good
1277,grid-good
1278,transistor-good
1279,metal_nut-good
1280,metal_nut-good
1281,bottle-broken_small
1282,zipper-fabric_interior
1283,leather-color
1284,pill-crack
1285,leather-color
1286,zipper-good
1287,tile-rough
1288,hazelnut-good
1289,hazelnut-crack
1290,pill-good
1291,cable-good
1292,leather-fold
1293,hazelnut-good
1294,pill-crack
1295,cable-poke_insulation
1296,tile-oil
1297,leather-color
1298,zipper-fabric_border
1299,hazelnut-print
1300,tile-gray_stroke
1301,capsule-scratch
1302,carpet-color
1303,cable-good
1304,hazelnut-good
1305,tile-glue_strip
1306,carpet-hole
1307,hazelnut-good
1308,transistor-good
1309,cable-good
1310,bottle-good
1311,grid-glue
1312,zipper-fabric_interior
1313,screw-scratch_head
1314,zipper-fabric_border
1315,capsule-good
1316,carpet-metal_contamination
1317,screw-scratch_head
1318,transistor-good
1319,pill-contamination
1320,zipper-fabric_interior
1321,transistor-good
1322,capsule-poke
1323,metal_nut-good
1324,toothbrush-good
1325,carpet-color
1326,hazelnut-print
1327,bottle-good
1328,screw-good
1329,transistor-good
1330,transistor-cut_lead
1331,grid-thread
1332,metal_nut-good
1333,tile-gray_stroke
1334,carpet-color
1335,cable-good
1336,tile-gray_stroke
1337,grid-broken
1338,metal_nut-color
1339,metal_nut-good
1340,hazelnut-good
1341,cable-good
1342,hazelnut-crack
1343,grid-good
1344,hazelnut-hole
1345,tile-gray_stroke
1346,hazelnut-good
1347,cable-good
1348,transistor-good
1349,tile-good
1350,zipper-fabric_interior
1351,tile-crack
1352,grid-good
1353,transistor-cut_lead
1354,transistor-good
1355,metal_nut-good
1356,bottle-broken_large
1357,wood-color
1358,pill-pill_type
1359,screw-scratch_head
1360,zipper-fabric_interior
1361,leather-glue
1362,tile-glue_strip
1363,transistor-good
1364,cable-good
1365,metal_nut-color
1366,transistor-good
1367,transistor-good
1368,hazelnut-good
1369,toothbrush-good
1370,pill-good
1371,screw-scratch_head
1372,cable-cut_outer_insulation
1373,zipper-fabric_interior
1374,tile-good
1375,hazelnut-good
1376,capsule-good
1377,zipper-good
1378,hazelnut-good
1379,hazelnut-good
1380,transistor-good
1381,toothbrush-good
1382,leather-glue
1383,wood-good
1384,metal_nut-bent
1385,leather-good
1386,carpet-thread
1387,carpet-good
1388,screw-thread_side
1389,screw-scratch_head
1390,zipper-fabric_interior
1391,hazelnut-hole
1392,hazelnut-good
1393,hazelnut-good
1394,cable-good
1395,capsule-crack
1396,leather-color
1397,carpet-good
1398,zipper-fabric_interior
1399,cable-good
1400,tile-good
1401,grid-glue
1402,cable-good
1403,hazelnut-print
1404,metal_nut-scratch
1405,hazelnut-good
1406,metal_nut-bent
1407,pill-contamination
1408,cable-cable_swap
1409,pill-good
1410,carpet-cut
1411,cable-missing_cable
1412,metal_nut-good
1413,capsule-good
1414,cable-good
1415,toothbrush-good
1416,bottle-good
1417,capsule-crack
1418,zipper-fabric_interior
1419,cable-good
1420,cable-good
1421,carpet-color
1422,cable-good
1423,metal_nut-color
1424,tile-crack
1425,cable-poke_insulation
1426,screw-thread_side
1427,transistor-good
1428,tile-gray_stroke
1429,zipper-good
1430,cable-good
1431,toothbrush-good
1432,grid-good
1433,metal_nut-flip
1434,screw-scratch_head
1435,pill-contamination
1436,zipper-fabric_interior
1437,metal_nut-color
1438,toothbrush-good
1439,carpet-thread
1440,pill-contamination
1441,pill-good
1442,screw-thread_side
1443,capsule-crack
1444,cable-good
1445,hazelnut-crack
1446,carpet-hole
1447,tile-oil
1448,tile-glue_strip
1449,transistor-misplaced
1450,hazelnut-good
1451,hazelnut-good
1452,carpet-color
1453,capsule-crack
1454,pill-good
1455,zipper-combined
1456,grid-broken
1457,cable-good
